Run_name	WM_retained	CSF_retained
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-001/func/sub-001_task-localizer_desc-confounds_timeseries.json	1	20
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-001/func/sub-001_task-regularity_run-1_desc-confounds_timeseries.json	5	20
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-001/func/sub-001_task-regularity_run-2_desc-confounds_timeseries.json	3	17
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-005/func/sub-005_task-localizer_desc-confounds_timeseries.json	2	12
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-005/func/sub-005_task-regularity_run-1_desc-confounds_timeseries.json	8	15
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-005/func/sub-005_task-regularity_run-2_desc-confounds_timeseries.json	2	10
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-006/func/sub-006_task-localizer_desc-confounds_timeseries.json	2	24
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-006/func/sub-006_task-regularity_run-1_desc-confounds_timeseries.json	11	27
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-006/func/sub-006_task-regularity_run-2_desc-confounds_timeseries.json	4	32
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-006/func/sub-006_task-regularity_run-3_desc-confounds_timeseries.json	4	33
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-006/func/sub-006_task-regularity_run-4_desc-confounds_timeseries.json	3	30
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-007/func/sub-007_task-localizer_desc-confounds_timeseries.json	18	17
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-007/func/sub-007_task-regularity_run-1_desc-confounds_timeseries.json	21	25
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-007/func/sub-007_task-regularity_run-2_desc-confounds_timeseries.json	22	23
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-007/func/sub-007_task-regularity_run-3_desc-confounds_timeseries.json	19	19
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-007/func/sub-007_task-regularity_run-4_desc-confounds_timeseries.json	18	18
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-008/func/sub-008_task-localizer_desc-confounds_timeseries.json	3	16
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-008/func/sub-008_task-regularity_run-1_desc-confounds_timeseries.json	2	17
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-008/func/sub-008_task-regularity_run-2_desc-confounds_timeseries.json	2	15
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-008/func/sub-008_task-regularity_run-3_desc-confounds_timeseries.json	3	20
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-008/func/sub-008_task-regularity_run-4_desc-confounds_timeseries.json	7	20
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-010/func/sub-010_task-localizer_desc-confounds_timeseries.json	3	13
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-010/func/sub-010_task-regularity_run-1_desc-confounds_timeseries.json	6	15
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-010/func/sub-010_task-regularity_run-2_desc-confounds_timeseries.json	7	17
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-010/func/sub-010_task-regularity_run-3_desc-confounds_timeseries.json	10	15
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-010/func/sub-010_task-regularity_run-4_desc-confounds_timeseries.json	6	15
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-011/func/sub-011_task-localizer_desc-confounds_timeseries.json	9	24
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-011/func/sub-011_task-regularity_run-1_desc-confounds_timeseries.json	13	23
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-011/func/sub-011_task-regularity_run-2_desc-confounds_timeseries.json	19	25
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-011/func/sub-011_task-regularity_run-3_desc-confounds_timeseries.json	18	22
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-011/func/sub-011_task-regularity_run-4_desc-confounds_timeseries.json	13	22
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-012/func/sub-012_task-localizer_desc-confounds_timeseries.json	7	18
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-012/func/sub-012_task-regularity_run-1_desc-confounds_timeseries.json	14	19
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-012/func/sub-012_task-regularity_run-2_desc-confounds_timeseries.json	11	15
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-012/func/sub-012_task-regularity_run-3_desc-confounds_timeseries.json	19	20
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-012/func/sub-012_task-regularity_run-4_desc-confounds_timeseries.json	17	18
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-013/func/sub-013_task-localizer_desc-confounds_timeseries.json	4	18
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-013/func/sub-013_task-regularity_run-1_desc-confounds_timeseries.json	7	23
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-013/func/sub-013_task-regularity_run-2_desc-confounds_timeseries.json	9	25
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-013/func/sub-013_task-regularity_run-3_desc-confounds_timeseries.json	9	25
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-013/func/sub-013_task-regularity_run-4_desc-confounds_timeseries.json	11	26
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-014/func/sub-014_task-localizer_desc-confounds_timeseries.json	12	25
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-014/func/sub-014_task-regularity_run-1_desc-confounds_timeseries.json	16	35
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-014/func/sub-014_task-regularity_run-2_desc-confounds_timeseries.json	19	38
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-014/func/sub-014_task-regularity_run-3_desc-confounds_timeseries.json	18	36
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-014/func/sub-014_task-regularity_run-4_desc-confounds_timeseries.json	17	29
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-015/func/sub-015_task-localizer_desc-confounds_timeseries.json	1	20
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-015/func/sub-015_task-regularity_run-1_desc-confounds_timeseries.json	1	25
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-015/func/sub-015_task-regularity_run-2_desc-confounds_timeseries.json	1	26
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-015/func/sub-015_task-regularity_run-3_desc-confounds_timeseries.json	1	23
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-015/func/sub-015_task-regularity_run-4_desc-confounds_timeseries.json	3	31
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-016/func/sub-016_task-localizer_desc-confounds_timeseries.json	9	18
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-016/func/sub-016_task-regularity_run-1_desc-confounds_timeseries.json	7	20
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-016/func/sub-016_task-regularity_run-2_desc-confounds_timeseries.json	5	21
